model_name,family_pair,recipient_family,donor_family,entity_a,entity_b,layer_idx,answer_a,answer_b,answer_relation,patched_text,effect,entity_wins,relation_wins,original_retained,mixed_or_other
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,0,paris,vietnamese,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,2,paris,vietnamese,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,4,paris,vietnamese,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,6,paris,vietnamese,french,The capital of France is French. It is the official language of,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,8,paris,vietnamese,french,The capital of France is French. It is the official language of,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,10,paris,vietnamese,french,The capital of France is French. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,12,paris,vietnamese,french,The capital of France is French. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,14,paris,vietnamese,french,The capital of France is French. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,16,paris,vietnamese,french,"The capital of France is Vietnamese
The capital of France is Vietnamese",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,18,paris,vietnamese,french,"The capital of France is Vietnamese
The capital of France is Vietnamese",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,20,paris,vietnamese,french,"The capital of France is Vietnamese
The capital of France is Vietnamese",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,22,paris,vietnamese,french,"The capital of France is Vietnamese
The capital of France is Vietnamese",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,24,paris,vietnamese,french,"The capital of France is Vietnamese
The capital of France is Vietnamese",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Vietnam,26,paris,vietnamese,french,"The capital of France is Vietnamese
The capital of France is Vietnamese",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Denmark,0,french,copenhagen,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Denmark,2,french,copenhagen,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Denmark,4,french,copenhagen,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Denmark,6,french,copenhagen,paris,The official language of France is Paris. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Denmark,8,french,copenhagen,paris,The official language of France is Paris. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Denmark,10,french,copenhagen,paris,The official language of France is Paris. It is the capital of France,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Denmark,12,french,copenhagen,paris,"The official language of France is Paris, and the capital of France is",relation_wins,0,1,0,0
