model_name,family_pair,recipient_family,donor_family,entity_a,entity_b,layer_idx,answer_a,answer_b,answer_relation,patched_text,effect,entity_wins,relation_wins,original_retained,mixed_or_other
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,0,paris,swedish,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,2,paris,swedish,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,4,paris,swedish,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,6,paris,swedish,french,The capital of France is French. It is the official language of,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,8,paris,swedish,french,The capital of France is French. The official language of France is,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,10,paris,swedish,french,The capital of France is French. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,12,paris,swedish,french,The capital of France is French. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,14,paris,swedish,french,The capital of France is French. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,16,paris,swedish,french,The capital of France is Swedish. The French capital is Stockholm.,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,18,paris,swedish,french,The capital of France is Swedish. The French capital is Stockholm.,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,20,paris,swedish,french,"The capital of France is Swedish
The capital of France is Swedish",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,22,paris,swedish,french,"The capital of France is Swedish
The capital of France is Swedish",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,24,paris,swedish,french,"The capital of France is Swedish
The capital of France is Swedish",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,France,Sweden,26,paris,swedish,french,"The capital of France is Swedish
The capital of France is Swedish",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,0,french,stockholm,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,2,french,stockholm,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,4,french,stockholm,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,6,french,stockholm,paris,The official language of France is Paris. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,8,french,stockholm,paris,The official language of France is Paris. The capital of France is Paris,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,10,french,stockholm,paris,The official language of France is Paris. It is the capital of France,relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,12,french,stockholm,paris,"The official language of France is Paris, and the capital of France is",relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,14,french,stockholm,paris,"The official language of France is Paris, and the capital of France is",relation_wins,0,1,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,16,french,stockholm,paris,"The official language of France is Parisian French, which is a dialect",mixed_or_other,0,0,0,1
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,18,french,stockholm,paris,"The official language of France is Stockholm, Sweden. The official language of",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,20,french,stockholm,paris,"The official language of France is Stockholm, Sweden. The official language of",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,22,french,stockholm,paris,"The official language of France is Stockholm, Sweden. The official language of",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,24,french,stockholm,paris,"The official language of France is Stockholm, Sweden. The official language of",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,language__capital,language,capital,France,Sweden,26,french,stockholm,paris,"The official language of France is Stockholm, Sweden. The official language of",entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,0,berlin,german,german,The capital of Germany is Berlin. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,2,berlin,german,german,The capital of Germany is Berlin. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,4,berlin,german,german,The capital of Germany is Berlin. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,6,berlin,german,german,The capital of Germany is German. German is the official language of,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,8,berlin,german,german,The capital of Germany is German. The official language of Germany is,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,10,berlin,german,german,The capital of Germany is German. The capital of Germany is Berlin,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,12,berlin,german,german,The capital of Germany is German. The capital of Germany is Berlin,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,14,berlin,german,german,The capital of Germany is German. The capital of Germany is German,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,16,berlin,german,german,The capital of Germany is German. The capital of Germany is German,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,18,berlin,german,german,The capital of Germany is German. The capital of Germany is German,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,language,Germany,Switzerland,20,berlin,german,german,The capital of Germany is German. The capital of Germany is German,entity_wins,1,0,0,0
