model_name,family,zone,layer_idx,n,last_token_pct,subj_token_pct,subj_avg_pct
Qwen/Qwen2.5-3B,capital,early,0,16,0.0,0.8125,0.8125
Qwen/Qwen2.5-3B,capital,early,2,16,0.0,0.9375,0.9375
Qwen/Qwen2.5-3B,capital,early,4,16,0.0,0.9375,0.9375
Qwen/Qwen2.5-3B,capital,early,6,16,0.0,0.9375,0.9375
Qwen/Qwen2.5-3B,capital,early,8,16,0.0,0.9375,0.9375
Qwen/Qwen2.5-3B,capital,early,10,16,0.0,0.9375,0.9375
Qwen/Qwen2.5-3B,capital,early,12,16,0.0,0.9375,0.9375
Qwen/Qwen2.5-3B,capital,late,24,16,0.0,1.0,1.0
Qwen/Qwen2.5-3B,capital,late,26,16,0.0,1.0,1.0
Qwen/Qwen2.5-3B,capital,late,28,16,0.0625,0.4375,0.4375
Qwen/Qwen2.5-3B,capital,late,30,16,0.0625,0.5,0.5
Qwen/Qwen2.5-3B,capital,late,32,16,0.8125,0.0,0.0
Qwen/Qwen2.5-3B,capital,late,34,16,0.8125,0.0,0.0
Qwen/Qwen2.5-3B,capital,mid,14,16,0.0,1.0,1.0
Qwen/Qwen2.5-3B,capital,mid,16,16,0.0,1.0,1.0
Qwen/Qwen2.5-3B,capital,mid,18,16,0.0,1.0,1.0
Qwen/Qwen2.5-3B,capital,mid,20,16,0.0,1.0,1.0
Qwen/Qwen2.5-3B,capital,mid,22,16,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,early,0,6,0.0,0.8333333333333334,0.8333333333333334
Qwen/Qwen2.5-3B,comparative,early,2,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,early,4,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,early,6,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,early,8,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,early,10,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,early,12,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,late,24,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,late,26,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,late,28,6,0.0,0.5,0.5
Qwen/Qwen2.5-3B,comparative,late,30,6,0.0,0.6666666666666666,0.6666666666666666
Qwen/Qwen2.5-3B,comparative,late,32,6,1.0,0.0,0.0
Qwen/Qwen2.5-3B,comparative,late,34,6,1.0,0.0,0.0
Qwen/Qwen2.5-3B,comparative,mid,14,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,mid,16,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,mid,18,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,mid,20,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,comparative,mid,22,6,0.0,1.0,1.0
Qwen/Qwen2.5-3B,language,early,0,16,0.125,0.9375,0.9375
Qwen/Qwen2.5-3B,language,early,2,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,early,4,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,early,6,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,early,8,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,early,10,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,early,12,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,late,24,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,late,26,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,late,28,16,0.5625,0.625,0.625
Qwen/Qwen2.5-3B,language,late,30,16,0.5625,0.625,0.625
Qwen/Qwen2.5-3B,language,late,32,16,1.0,0.125,0.125
Qwen/Qwen2.5-3B,language,late,34,16,1.0,0.125,0.125
Qwen/Qwen2.5-3B,language,mid,14,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,mid,16,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,mid,18,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,mid,20,16,0.125,1.0,1.0
Qwen/Qwen2.5-3B,language,mid,22,16,0.125,1.0,1.0
