model_name,family,layer_idx,entity_score,overwrite_pct,failure_pct,n
Qwen/Qwen2.5-3B,capital,0,0.0,0.0,1.0,16
Qwen/Qwen2.5-3B,capital,2,0.0,0.0,1.0,16
Qwen/Qwen2.5-3B,capital,4,0.0,0.0,1.0,16
Qwen/Qwen2.5-3B,capital,6,0.0,0.0,1.0,16
Qwen/Qwen2.5-3B,capital,8,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,10,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,12,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,14,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,16,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,18,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,20,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,22,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,24,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,26,0.0,0.0625,0.9375,16
Qwen/Qwen2.5-3B,capital,28,0.0625,0.25,0.6875,16
Qwen/Qwen2.5-3B,capital,30,0.0625,0.1875,0.75,16
Qwen/Qwen2.5-3B,capital,32,0.8125,0.125,0.0625,16
Qwen/Qwen2.5-3B,capital,34,0.8125,0.125,0.0625,16
Qwen/Qwen2.5-3B,comparative,0,0.0,0.0,1.0,6
Qwen/Qwen2.5-3B,comparative,2,0.0,0.0,1.0,6
Qwen/Qwen2.5-3B,comparative,4,0.0,0.0,1.0,6
Qwen/Qwen2.5-3B,comparative,6,0.0,0.0,1.0,6
Qwen/Qwen2.5-3B,comparative,8,0.0,0.0,1.0,6
Qwen/Qwen2.5-3B,comparative,10,0.0,0.16666666666666666,0.8333333333333334,6
Qwen/Qwen2.5-3B,comparative,12,0.0,0.3333333333333333,0.6666666666666666,6
Qwen/Qwen2.5-3B,comparative,14,0.0,0.3333333333333333,0.6666666666666666,6
Qwen/Qwen2.5-3B,comparative,16,0.0,0.3333333333333333,0.6666666666666666,6
Qwen/Qwen2.5-3B,comparative,18,0.0,0.5,0.5,6
