model_name,family_pair,recipient_family,donor_family,entity_a,entity_b,layer_idx,answer_a,answer_b,answer_relation,patched_text,effect,entity_wins,relation_wins,original_retained,mixed_or_other
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,0,paris,easier,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,2,paris,easier,french,The capital of France is the most visited city in the world.,mixed_or_other,0,0,0,1
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,4,paris,easier,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,6,paris,easier,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,8,paris,easier,french,The capital of France is Paris. The capital of France is Paris,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,10,paris,easier,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,12,paris,easier,french,The capital of France is Paris. It is the largest city in,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,14,paris,easier,french,The capital of France is capital of the world. Paris is a,mixed_or_other,0,0,0,1
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,16,paris,easier,french,The capital of France is more than just a city. It is,mixed_or_other,0,0,0,1
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,18,paris,easier,french,The capital of France is easier to reach than you might think.,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,20,paris,easier,french,The capital of France is easier to reach than you might think.,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,22,paris,easier,french,The capital of France is easier to reach than you might think.,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,24,paris,easier,french,The capital of France is easier to reach than you might think.,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,capital__language,capital,comparative,France,easy,26,paris,easier,french,The capital of France is easier to reach than you might think.,entity_wins,1,0,0,0
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,0,french,painted,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,2,french,painted,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,4,french,painted,paris,The official language of France is the French language. It is the official,mixed_or_other,0,0,0,1
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,6,french,painted,paris,The official language of France is the French language. It is the official,mixed_or_other,0,0,0,1
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,8,french,painted,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,10,french,painted,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,12,french,painted,paris,The official language of France is French. French is the official language of,original_retained,0,0,1,0
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,14,french,painted,paris,The official language of France is “French” and the official language of,mixed_or_other,0,0,0,1
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,16,french,painted,paris,The official language of France is pasted. The French language is a,mixed_or_other,0,0,0,1
meta-llama/Llama-3.2-3B,language__capital,language,past_tense,France,paint,18,french,painted,paris,The official language of France is pasted. The French language is a,mixed_or_other,0,0,0,1
