model_name,pair_name,family,item_index,entity,prompt,gold_answer,generated_text,pred_phrase,pred_clean,exact_family_match,gold_token_count,gold_token_mode,first_gold_token_id,first_gold_token_str,top1_token,top1_matches_first_gold,first_token_margin,first_token_rank,first_token_prob,top10_tokens,item_quality
meta-llama/Llama-3.2-3B,capital__language,capital,1,France,The capital of France is,paris,The capital of France is Paris. It is the largest city in,paris,paris,1,1,leading_space,41958, paris,Paris,0,10.152148678898811,362,9.64485589065589e-05, Paris |  the |  a |  located |  also |  one |  known |  not |  situated |  an,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,2,Germany,The capital of Germany is,berlin,The capital of Germany is Berlin. It is the largest city in,berlin,berlin,1,1,leading_space,45681, berlin,Berlin,0,11.222746834158897,140,0.0003064881020691246, Berlin |  the |  a |  located |  one |  also |  not |  an |  situated |  home,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,3,Italy,The capital of Italy is,rome,The capital of Italy is Rome. It is the capital of the,rome,rome,1,2,leading_space,220, ,Rome,0,13.39718610048294,31,0.0019038518657907844, Rome |  the |  a |  located |  one |  also |  home |  not |  known |  an,keep_strong
meta-llama/Llama-3.2-3B,capital__language,capital,4,Spain,The capital of Spain is,madrid,The capital of Spain is Madrid. It is the largest city in,madrid,madrid,1,1,leading_space,65887, madrid,Madrid,0,10.306152492761612,370,0.00010087013652082533, Madrid |  a |  the |  located |  one |  also |  an |  not |  home |  known,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,5,Russia,The capital of Russia is,moscow,The capital of Russia is Moscow. It is the largest city in,moscow,moscow,1,2,leading_space,23518, mos,Moscow,0,11.253094851970673,186,0.0002978744450956583, Moscow |  the |  a |  located |  one |  also |  not |  an |  known |  called,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,6,Japan,The capital of Japan is,tokyo,The capital of Japan is Tokyo. It is the largest city in,tokyo,tokyo,1,3,leading_space,311, to,Tokyo,0,13.004012286663055,35,0.0014648509677499533, Tokyo |  the |  a |  located |  also |  one |  known |  not |  an |  called,keep_strong
meta-llama/Llama-3.2-3B,capital__language,capital,7,South Korea,The capital of South Korea is,seoul,The capital of South Korea is Seoul. It is the largest city in,seoul,seoul,1,2,leading_space,513, se,Seoul,0,13.362998396158218,29,0.002728573512285948, Seoul |  the |  a |  located |  one |  also |  home |  not |  known |  an,keep_strong
meta-llama/Llama-3.2-3B,capital__language,capital,8,Greece,The capital of Greece is,athens,The capital of Greece is Athens. It is the largest city in,athens,athens,1,2,leading_space,12004, ath,Athens,0,11.451632644981146,131,0.0003308788000140339, Athens |  the |  a |  located |  one |  also |  situated |  an |  not |  home,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,9,Turkey,The capital of Turkey is,ankara,The capital of Turkey is Ankara. It is the second largest city,ankara,ankara,1,2,leading_space,71572, ank,Ankara,0,9.346298038959503,510,5.320894342730753e-05, Ankara |  Istanbul |  the |  a |  located |  one |  also |  an |  not |  home,generation_ok_but_logit_weak
meta-llama/Llama-3.2-3B,capital__language,capital,10,Poland,The capital of Poland is,warsaw,The capital of Poland is Warsaw. It is the largest city in,warsaw,warsaw,1,2,leading_space,25981, wars,Warsaw,0,10.06721955537796,442,6.950989336473867e-05, Warsaw |  the |  a |  one |  also |  located |  an |  not |  in |  situated,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,11,Netherlands,The capital of Netherlands is,amsterdam,The capital of Netherlands is Amsterdam. It is the largest city in,amsterdam,amsterdam,1,1,leading_space,57039, amsterdam,Amsterdam,0,11.50513723026961,81,0.0005045183934271336, Amsterdam |  the |  a |  located |  Am |  known |  also |  one |  an |  The,keep_borderline
meta-llama/Llama-3.2-3B,capital__language,capital,12,Sweden,The capital of Sweden is,stockholm,The capital of Sweden is Stockholm. It is located on the Baltic,stockholm,stockholm,1,1,leading_space,93190, stockholm,Stockholm,0,10.821163102984428,208,0.00019963341765105724, Stockholm |  the |  located |  a |  also |  one |  situated |  an |  not |  known,keep_borderline
