model_name,record_idx,relation_pair_id,recipient_family,donor_family,layer_idx,final_label,relation_transfer,overwrite,failure,switch_strength
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,0,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,2,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,4,failure,0,0,1,-9
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,6,relation_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,8,relation_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,10,relation_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,12,relation_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,14,relation_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,16,relation_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,18,relation_transfer,1,0,0,1
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,20,relation_transfer,1,0,0,0
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,22,relation_transfer,1,0,0,0
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,24,relation_transfer,1,0,0,0
meta-llama/Llama-3.2-3B,1,cap_recv__lang_donor,capital,language,26,relation_transfer,1,0,0,0
meta-llama/Llama-3.2-3B,2,cap_recv__lang_donor,capital,language,0,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,cap_recv__lang_donor,capital,language,2,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,cap_recv__lang_donor,capital,language,4,failure,0,0,1,-8
meta-llama/Llama-3.2-3B,2,cap_recv__lang_donor,capital,language,6,relation_transfer,1,0,0,1
