model_name,pair_name,family,n,exact_match_rate,mean_gold_token_count,pct_single_token,first_token_top1_rate,mean_first_token_margin,median_first_token_rank,keep_strong_rate,keep_any_rate,drop_wrong_generation_rate,family_quality
Qwen/Qwen2.5-3B,capital__language,capital,33,1.0,1.9696969696969697,0.24242424242424243,0.0,11.70771403294621,123.0,0.030303030303030304,0.8787878787878788,0.0,maybe_use_after_manual_check
Qwen/Qwen2.5-3B,capital__language,language,33,1.0,1.5757575757575757,0.45454545454545453,0.0,15.273365253751928,39.0,0.696969696969697,1.0,0.0,maybe_use_after_manual_check
Qwen/Qwen2.5-3B,chemical_symbol,symbol,12,1.0,1.0,1.0,0.0,15.937467520435652,44.5,0.75,1.0,0.0,good_to_use
Qwen/Qwen2.5-3B,opposite__comparative,comparative,12,1.0,1.0,1.0,1.0,19.20334718252222,1.0,1.0,1.0,0.0,good_to_use
Qwen/Qwen2.5-3B,opposite__comparative,opposite,12,1.0,1.0,1.0,1.0,19.116288118064404,1.0,1.0,1.0,0.0,good_to_use
Qwen/Qwen2.5-3B,past_tense__present_participle,past_tense,21,1.0,1.0,1.0,0.9523809523809523,18.931177391892387,1.0,1.0,1.0,0.0,good_to_use
Qwen/Qwen2.5-3B,past_tense__present_participle,present_participle,21,1.0,1.0,1.0,1.0,18.845675284042954,1.0,1.0,1.0,0.0,good_to_use
Qwen/Qwen2.5-3B,plural,plural,27,1.0,1.0,1.0,1.0,19.11202110018995,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Llama-3.2-3B,capital__language,capital,33,1.0,1.9696969696969697,0.24242424242424243,0.0,11.537450294461891,131.0,0.2727272727272727,0.9090909090909091,0.0,maybe_use_after_manual_check
meta-llama/Llama-3.2-3B,capital__language,language,33,1.0,1.5757575757575757,0.45454545454545453,0.0,14.649501648364645,10.0,1.0,1.0,0.0,good_to_use
meta-llama/Llama-3.2-3B,chemical_symbol,symbol,12,1.0,1.0,1.0,0.0,14.19921826214219,10.5,1.0,1.0,0.0,good_to_use
meta-llama/Llama-3.2-3B,opposite__comparative,comparative,12,1.0,1.0,1.0,1.0,16.275926640878122,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Llama-3.2-3B,opposite__comparative,opposite,12,1.0,1.0,1.0,1.0,17.518716424703598,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Llama-3.2-3B,past_tense__present_participle,past_tense,21,1.0,1.0,1.0,1.0,19.91013097106701,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Llama-3.2-3B,past_tense__present_participle,present_participle,21,1.0,1.0,1.0,1.0,19.15986139823993,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Llama-3.2-3B,plural,plural,27,1.0,1.0,1.0,1.0,17.388690379896648,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Meta-Llama-3-8B,capital__language,capital,33,1.0,1.9696969696969697,0.24242424242424243,0.0,11.924041159225233,167.0,0.12121212121212122,0.8181818181818182,0.0,maybe_use_after_manual_check
meta-llama/Meta-Llama-3-8B,capital__language,language,33,1.0,1.5757575757575757,0.45454545454545453,0.0,14.441251036344152,16.0,0.9393939393939394,1.0,0.0,good_to_use
meta-llama/Meta-Llama-3-8B,chemical_symbol,symbol,12,1.0,1.0,1.0,0.0,15.263995281110207,7.0,1.0,1.0,0.0,good_to_use
meta-llama/Meta-Llama-3-8B,opposite__comparative,comparative,12,1.0,1.0,1.0,1.0,19.52959415068229,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Meta-Llama-3-8B,opposite__comparative,opposite,12,1.0,1.0,1.0,1.0,18.81717633207639,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Meta-Llama-3-8B,past_tense__present_participle,past_tense,21,1.0,1.0,1.0,1.0,20.482867490677606,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Meta-Llama-3-8B,past_tense__present_participle,present_participle,21,1.0,1.0,1.0,1.0,20.81060420331501,1.0,1.0,1.0,0.0,good_to_use
meta-llama/Meta-Llama-3-8B,plural,plural,27,1.0,1.0,1.0,1.0,18.690669185585445,1.0,1.0,1.0,0.0,good_to_use
microsoft/phi-2,capital__language,capital,33,1.0,2.393939393939394,0.0,0.0,7.196383898569779,385.0,0.030303030303030304,0.5757575757575758,0.0,drop_or_rework
microsoft/phi-2,capital__language,language,33,1.0,2.1818181818181817,0.12121212121212122,0.0,10.870581086414555,79.0,0.36363636363636365,0.9393939393939394,0.0,maybe_use_after_manual_check
microsoft/phi-2,chemical_symbol,symbol,12,1.0,1.0,1.0,0.0,11.903602819889784,38.5,0.5833333333333334,1.0,0.0,maybe_use_after_manual_check
microsoft/phi-2,opposite__comparative,comparative,12,1.0,1.0,1.0,1.0,21.316733370224636,1.0,1.0,1.0,0.0,good_to_use
microsoft/phi-2,opposite__comparative,opposite,12,1.0,1.0,1.0,1.0,19.01544025540352,1.0,1.0,1.0,0.0,good_to_use
microsoft/phi-2,past_tense__present_participle,past_tense,21,1.0,1.0,1.0,1.0,20.12956844483103,1.0,1.0,1.0,0.0,good_to_use
microsoft/phi-2,past_tense__present_participle,present_participle,21,1.0,1.0,1.0,1.0,18.537562710898264,1.0,1.0,1.0,0.0,good_to_use
microsoft/phi-2,plural,plural,27,1.0,1.037037037037037,0.9629629629629629,1.0,20.225154298323172,1.0,1.0,1.0,0.0,good_to_use
