model_name,family_pair,layer_idx,entity_wins,relation_wins,original_retained,mixed_or_other
Qwen/Qwen2.5-3B,capital__language,0,0.0,0.0,0.9696969696969697,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,2,0.0,0.0,0.9696969696969697,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,4,0.0,0.0,0.9696969696969697,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,6,0.0,0.0,0.9696969696969697,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,8,0.0,0.06060606060606061,0.8787878787878788,0.06060606060606061
Qwen/Qwen2.5-3B,capital__language,10,0.0,0.9090909090909091,0.030303030303030304,0.06060606060606061
Qwen/Qwen2.5-3B,capital__language,12,0.030303030303030304,0.9393939393939394,0.0,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,14,0.030303030303030304,0.9393939393939394,0.0,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,16,0.030303030303030304,0.9393939393939394,0.0,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,18,0.030303030303030304,0.9393939393939394,0.0,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,20,0.030303030303030304,0.9393939393939394,0.0,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,22,0.030303030303030304,0.9393939393939394,0.0,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,24,0.030303030303030304,0.9393939393939394,0.0,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,26,0.030303030303030304,0.9393939393939394,0.0,0.030303030303030304
Qwen/Qwen2.5-3B,capital__language,28,0.6060606060606061,0.24242424242424243,0.0,0.15151515151515152
Qwen/Qwen2.5-3B,capital__language,30,0.5454545454545454,0.24242424242424243,0.0,0.21212121212121213
Qwen/Qwen2.5-3B,capital__language,32,0.8181818181818182,0.0,0.0,0.18181818181818182
Qwen/Qwen2.5-3B,capital__language,34,0.7878787878787878,0.0,0.0,0.21212121212121213
Qwen/Qwen2.5-3B,comparative__opposite,0,0.0,0.0,0.8333333333333334,0.16666666666666666
Qwen/Qwen2.5-3B,comparative__opposite,2,0.0,0.0,1.0,0.0
Qwen/Qwen2.5-3B,comparative__opposite,4,0.0,0.0,1.0,0.0
Qwen/Qwen2.5-3B,comparative__opposite,6,0.0,0.0,1.0,0.0
Qwen/Qwen2.5-3B,comparative__opposite,8,0.0,0.0,1.0,0.0
Qwen/Qwen2.5-3B,comparative__opposite,10,0.0,0.0,1.0,0.0
Qwen/Qwen2.5-3B,comparative__opposite,12,0.0,0.08333333333333333,0.6666666666666666,0.25
Qwen/Qwen2.5-3B,comparative__opposite,14,0.0,0.16666666666666666,0.5833333333333334,0.25
Qwen/Qwen2.5-3B,comparative__opposite,16,0.0,0.8333333333333334,0.0,0.16666666666666666
Qwen/Qwen2.5-3B,comparative__opposite,18,0.0,0.9166666666666666,0.0,0.08333333333333333
Qwen/Qwen2.5-3B,comparative__opposite,20,0.0,0.9166666666666666,0.0,0.08333333333333333
Qwen/Qwen2.5-3B,comparative__opposite,22,0.0,0.9166666666666666,0.0,0.08333333333333333
Qwen/Qwen2.5-3B,comparative__opposite,24,0.0,0.9166666666666666,0.0,0.08333333333333333
Qwen/Qwen2.5-3B,comparative__opposite,26,0.0,0.9166666666666666,0.0,0.08333333333333333
Qwen/Qwen2.5-3B,comparative__opposite,28,0.4166666666666667,0.0,0.0,0.5833333333333334
Qwen/Qwen2.5-3B,comparative__opposite,30,0.5833333333333334,0.0,0.0,0.4166666666666667
Qwen/Qwen2.5-3B,comparative__opposite,32,0.75,0.0,0.0,0.25
Qwen/Qwen2.5-3B,comparative__opposite,34,0.75,0.0,0.0,0.25
Qwen/Qwen2.5-3B,language__capital,0,0.0,0.0,1.0,0.0
Qwen/Qwen2.5-3B,language__capital,2,0.0,0.0,1.0,0.0
Qwen/Qwen2.5-3B,language__capital,4,0.0,0.0,1.0,0.0
